id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv	created_at	updated_at
31	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
32	12	yesno	Trailer Reversing Lights	Are all the reversing lights free from defects?	Are all the reversing lights free from defects?	Reversing light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
33	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
34	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
35	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
36	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
37	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
38	13	yesno	Trailer Fog Lights	Are all the fog lights free from defects?	Are all the fog lights free from defects?	Fog light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
39	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
40	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
41	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
42	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
43	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
44	14	yesno	Trailer Marker Lights	Are all the marker lights free from defects?	Are all the marker lights free from defects?	Marker lights not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
45	15	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
46	15	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
47	15	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
48	15	yesno	Trailer Reflectors	Are all the reflectors free from defects?	Are all the reflectors free from defects?	Reflectors damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
49	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
50	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
51	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
52	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
53	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
54	16	yesno	Trailer Number Plate Lights	Are all the number plate lights free from defects?	Are all the number plate lights free from defects?	Number plate light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
55	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
56	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
57	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
58	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
59	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
60	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Indicator light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
61	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light cracked (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
62	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light damaged (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
63	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light not working (nearside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
64	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light cracked (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
65	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light damaged (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
66	17	yesno	Trailer Indicators and Hazard	Are all trailer indicator and hazard lights free from defects?	Are all trailer indicator and hazard lights free from defects?	Hazard light not working (offside)	0	0	1	0	1	0	\N	Not roadworthy go to service centre / ICL Workshop	1	1		
67	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
68	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
69	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
70	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
71	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
72	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Under inflated (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
73	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
74	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
75	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
76	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
77	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
78	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
79	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
80	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
81	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
82	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
83	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
84	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
85	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
86	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
87	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
88	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
89	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
90	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
91	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
92	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
93	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
94	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
95	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
96	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Side wall damage (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
97	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
98	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
99	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
100	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
101	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
102	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread below legal limit (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
103	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
104	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
105	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
106	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
107	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
108	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Tread nearing legal limit  (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
109	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
110	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
111	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
112	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
113	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
114	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Uneven tread wear (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
115	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
116	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
117	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
118	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
119	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
120	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Wheel nuts loose (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
121	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (1st Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
122	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (1st Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
123	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (2nd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
124	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (2nd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
125	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (3rd Axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
126	18	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Missing wheel nuts  (3rd Axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify 	1	1		
